Country_Region,Last_Update,Confirmed,Deaths
China,2022-12-06 04:21:03,4933,0
China,2022-12-06 04:21:03,10451,5
China,2022-12-06 04:21:03,2611,3
China,2022-12-06 04:21:03,1516,0
China,2022-12-06 04:21:03,1418778,0
China,2022-12-06 04:21:03,2613,3
China,2022-12-06 04:21:03,4751,2
China,2022-12-06 04:21:03,4978,1
Colombia,2022-12-06 04:21:03,7824,265
Colombia,2022-12-06 04:21:03,944107,18512
Colombia,2022-12-06 04:21:03,17021,560
Colombia,2022-12-06 04:21:03,416950,10212
Colombia,2022-12-06 04:21:03,202983,3268
Colombia,2022-12-06 04:21:03,129351,2870
Colombia,2022-12-06 04:21:03,119344,2564
Colombia,2022-12-06 04:21:03,1856116,29860
Colombia,2022-12-06 04:21:03,25592,1041
Colombia,2022-12-06 04:21:03,42868,1025
Colombia,2022-12-06 04:21:03,76192,1847
Colombia,2022-12-06 04:21:03,108961,2685
Colombia,2022-12-06 04:21:03,18833,429
Colombia,2022-12-06 04:21:03,122090,3951
Colombia,2022-12-06 04:21:03,327881,7368
Colombia,2022-12-06 04:21:03,2792,37
Colombia,2022-12-06 04:21:03,5658,105
Colombia,2022-12-06 04:21:03,103025,3582
Colombia,2022-12-06 04:21:03,57918,1543
Colombia,2022-12-06 04:21:03,117561,3651
Colombia,2022-12-06 04:21:03,107424,2597
Colombia,2022-12-06 04:21:03,107695,3386
Colombia,2022-12-06 04:21:03,124415,5177
Colombia,2022-12-06 04:21:03,21789,788
Colombia,2022-12-06 04:21:03,72715,2076
Colombia,2022-12-06 04:21:03,109497,2499
Colombia,2022-12-06 04:21:03,10336,156
Colombia,2022-12-06 04:21:03,293509,8308
Colombia,2022-12-06 04:21:03,66959,1741
Colombia,2022-12-06 04:21:03,126906,4079
Colombia,2022-12-06 04:21:03,0,270
Colombia,2022-12-06 04:21:03,564373,15343
Colombia,2022-12-06 04:21:03,1953,22
Colombia,2022-12-06 04:21:03,3469,64
Comoros,2022-12-06 04:21:03,8968,161
Congo (Brazzaville),2022-12-06 04:21:03,25375,386
Congo (Kinshasa),2022-12-06 04:21:03,94452,1456
Costa Rica,2022-12-06 04:21:03,1148914,9046
Cote d'Ivoire,2022-12-06 04:21:03,87889,830
Croatia,2022-12-06 04:21:03,1254857,17348
Cuba,2022-12-06 04:21:03,1111447,8530
Cyprus,2022-12-06 04:21:03,618248,1237
Czechia,2022-12-06 04:21:03,4561350,41904
Denmark,2022-12-06 04:21:03,34658,28
Denmark,2022-12-06 04:21:03,11971,21
Denmark,2022-12-06 04:21:03,3358726,7555
Diamond Princess,2022-12-06 04:21:03,712,13
Djibouti,2022-12-06 04:21:03,15690,189
Dominica,2022-12-06 04:21:03,15760,74
Dominican Republic,2022-12-06 04:21:03,650990,4384
Ecuador,2022-12-06 04:21:03,1011132,35940
Egypt,2022-12-06 04:21:03,515645,24799
El Salvador,2022-12-06 04:21:03,201785,4230
Equatorial Guinea,2022-12-06 04:21:03,17183,183
Eritrea,2022-12-06 04:21:03,10189,103
Estonia,2022-12-06 04:21:03,609297,2790
Eswatini,2022-12-06 04:21:03,73908,1422
Ethiopia,2022-12-06 04:21:03,494786,7572
Fiji,2022-12-06 04:21:03,68451,878
Finland,2022-12-06 04:21:03,1405255,7448
France,2022-12-06 04:21:03,96389,411
France,2022-12-06 04:21:03,77275,649
France,2022-12-06 04:21:03,197918,995
France,2022-12-06 04:21:03,224468,1071
France,2022-12-06 04:21:03,41679,187
France,2022-12-06 04:21:03,76187,314
France,2022-12-06 04:21:03,481540,903
France,2022-12-06 04:21:03,5348,6
France,2022-12-06 04:21:03,3282,1
France,2022-12-06 04:21:03,12058,63
France,2022-12-06 04:21:03,3415,7
France,2022-12-06 04:21:03,37058977,155678
Gabon,2022-12-06 04:21:03,48973,306
Gambia,2022-12-06 04:21:03,12586,372
Georgia,2022-12-06 04:21:03,1806918,16888
Germany,2022-12-06 04:21:03,4907825,18271
Germany,2022-12-06 04:21:03,6550176,27174
Germany,2022-12-06 04:21:03,1368148,5155
Germany,2022-12-06 04:21:03,1064350,6202
Germany,2022-12-06 04:21:03,287577,891
Germany,2022-12-06 04:21:03,780594,3269
Germany,2022-12-06 04:21:03,2799354,11728
Germany,2022-12-06 04:21:03,678012,2592
Germany,2022-12-06 04:21:03,3616980,11848
Germany,2022-12-06 04:21:03,7569736,29177
Germany,2022-12-06 04:21:03,1689372,6563
Germany,2022-12-06 04:21:03,470971,1981
Germany,2022-12-06 04:21:03,1904131,16392
Germany,2022-12-06 04:21:03,929104,6053
Germany,2022-12-06 04:21:03,1124234,3163
Germany,2022-12-06 04:21:03,864084,7927
Germany,2022-12-06 04:21:03,0,0
Ghana,2022-12-06 04:21:03,171023,1461
Greece,2022-12-06 04:21:03,5404690,34309
Grenada,2022-12-06 04:21:03,19631,237
Guatemala,2022-12-06 04:21:03,1160363,19957
Guinea,2022-12-06 04:21:03,38153,464
Guinea-Bissau,2022-12-06 04:21:03,8848,176
Guyana,2022-12-06 04:21:03,71650,1285
Haiti,2022-12-06 04:21:03,33862,860
Holy See,2022-12-06 04:21:03,29,0
Honduras,2022-12-06 04:21:03,458921,11051
Hungary,2022-12-06 04:21:03,2166352,48287
Iceland,2022-12-06 04:21:03,207101,219
India,2022-12-06 04:21:03,10741,129
India,2022-12-06 04:21:03,2339058,14733
India,2022-12-06 04:21:03,66889,296
India,2022-12-06 04:21:03,746099,8035
India,2022-12-06 04:21:03,851354,12302
India,2022-12-06 04:21:03,99338,1181
India,2022-12-06 04:21:03,1177734,14146
India,2022-12-06 04:21:03,11591,4
India,2022-12-06 04:21:03,2007003,26519
India,2022-12-06 04:21:03,259038,4013
India,2022-12-06 04:21:03,1277467,11043
India,2022-12-06 04:21:03,1056534,10714
India,2022-12-06 04:21:03,312584,4213
India,2022-12-06 04:21:03,479372,4785
India,2022-12-06 04:21:03,442567,5331
India,2022-12-06 04:21:03,4071407,40303
India,2022-12-06 04:21:03,6826737,71504
India,2022-12-06 04:21:03,29406,231
India,2022-12-06 04:21:03,11415,52
India,2022-12-06 04:21:03,1054905,10776
India,2022-12-06 04:21:03,8135999,148407
India,2022-12-06 04:21:03,139919,2149
India,2022-12-06 04:21:03,96779,1624
India,2022-12-06 04:21:03,238956,726
India,2022-12-06 04:21:03,35986,782
India,2022-12-06 04:21:03,1336472,9205
India,2022-12-06 04:21:03,175491,1975
India,2022-12-06 04:21:03,785364,19289
India,2022-12-06 04:21:03,1315276,9653
India,2022-12-06 04:21:03,44317,499
India,2022-12-06 04:21:03,3594209,38049
India,2022-12-06 04:21:03,841137,4111
India,2022-12-06 04:21:03,108033,940
India,2022-12-06 04:21:03,0,0
India,2022-12-06 04:21:03,2128042,23632
India,2022-12-06 04:21:03,449292,7751
India,2022-12-06 04:21:03,2118495,21531
Indonesia,2022-12-06 04:21:03,6682437,160026
Iran,2022-12-06 04:21:03,7559924,144645
Iraq,2022-12-06 04:21:03,2464375,25366
Ireland,2022-12-06 04:21:03,1680548,8197
Israel,2022-12-06 04:21:03,4729605,11882
Italy,2022-12-06 04:21:03,613086,3768
Italy,2022-12-06 04:21:03,192733,996
Italy,2022-12-06 04:21:03,598087,3128
Italy,2022-12-06 04:21:03,2352166,11399
Italy,2022-12-06 04:21:03,2045976,18531
Italy,2022-12-06 04:21:03,548603,5707
Italy,2022-12-06 04:21:03,2259982,12383
Italy,2022-12-06 04:21:03,631367,5673
Italy,2022-12-06 04:21:03,3961860,43851
Italy,2022-12-06 04:21:03,679657,4209
Italy,2022-12-06 04:21:03,96722,697
